"Link_id";"Link_Direction";"Timestamp";"Congestion"
"14437894";"1";"2026-01-19 13:00:00.000";"Low"
"14437901";"1";"2026-01-19 14:30:00.000";"Low"
"14437917";"1";"2026-01-19 15:00:00.000";"Low"
"14437962";"1";"2026-01-19 14:45:00.000";"Low"
"14437967";"1";"2026-01-19 15:00:00.000";"Low"
"14437981";"1";"2026-01-19 14:45:00.000";"Low"
"14438000";"1";"2026-01-19 14:30:00.000";"Low"
"14438058";"1";"2026-01-19 15:00:00.000";"Low"
"14438066";"1";"2026-01-19 15:00:00.000";"Low"
"14438096";"1";"2026-01-19 14:30:00.000";"Low"
"14438102";"1";"2026-01-19 14:00:00.000";"Low"
"14438127";"1";"2026-01-19 11:00:00.000";"Low"
"14438184";"1";"2026-01-19 14:30:00.000";"Low"
"14438186";"1";"2026-01-19 15:00:00.000";"Medium"
"14438255";"1";"2026-01-19 15:00:00.000";"Low"
"14438352";"1";"2026-01-19 14:00:00.000";"Low"
"14438365";"1";"2026-01-19 11:00:00.000";"Low"
"14438451";"1";"2026-01-19 14:15:00.000";"Low"
"14438452";"1";"2026-01-19 15:00:00.000";"Low"
"14516195";"1";"2026-01-19 09:15:00.000";"Low"
"14516195";"2";"2026-01-19 08:45:00.000";"Medium"
"14516234";"1";"2026-01-19 02:15:00.000";"Low"
"14516234";"2";"2026-01-18 19:30:00.000";"Medium"
"14516814";"2";"2026-01-19 07:45:00.000";"Medium"
"14516895";"1";"2026-01-19 14:00:00.000";"Low"
"14517137";"1";"2026-01-19 12:30:00.000";"Medium"
"14596132";"1";"2026-01-18 18:30:00.000";"Low"
"14624676";"1";"2026-01-19 13:30:00.000";"Low"
"14625276";"1";"2026-01-18 18:45:00.000";"Medium"
"14736428";"2";"2026-01-18 19:15:00.000";"Low"
"14740869";"1";"2026-01-19 09:30:00.000";"Low"
"14741229";"1";"2026-01-19 12:30:00.000";"Low"
"14743066";"1";"2026-01-19 15:00:00.000";"Low"
"14743162";"1";"2026-01-19 13:30:00.000";"Low"
"14743222";"1";"2026-01-19 15:00:00.000";"Low"
"14743222";"2";"2026-01-19 13:45:00.000";"Low"
"14743327";"1";"2026-01-19 14:00:00.000";"Low"
"14743327";"2";"2026-01-18 16:15:00.000";"Low"
"14748762";"1";"2026-01-18 19:00:00.000";"Low"
"14748942";"1";"2026-01-19 11:00:00.000";"Medium"
"14750400";"1";"2026-01-19 08:15:00.000";"Low"
"14751179";"2";"2026-01-18 16:30:00.000";"Low"
"14751527";"1";"2026-01-19 08:15:00.000";"Low"
"14755041";"1";"2026-01-19 03:15:00.000";"Low"
"14755041";"2";"2026-01-19 03:15:00.000";"Low"
"14755081";"1";"2026-01-19 13:45:00.000";"Low"
"14756023";"1";"2026-01-19 11:15:00.000";"Low"
"14756023";"2";"2026-01-19 10:15:00.000";"Low"
"14765766";"1";"2026-01-18 18:30:00.000";"Low"
"14773230";"1";"2026-01-19 12:15:00.000";"Medium"
"14781305";"1";"2026-01-19 15:00:00.000";"Low"
"14781932";"1";"2026-01-19 14:45:00.000";"Low"
"14782349";"1";"2026-01-19 15:00:00.000";"Low"
"14782480";"1";"2026-01-18 22:00:00.000";"Medium"
"14783001";"1";"2026-01-19 15:00:00.000";"Medium"
"14783090";"1";"2026-01-19 15:00:00.000";"Low"
"14783245";"1";"2026-01-19 15:00:00.000";"High"
"14783561";"1";"2026-01-19 15:00:00.000";"Medium"
"14784002";"1";"2026-01-19 13:45:00.000";"Low"
"14784185";"1";"2026-01-19 15:00:00.000";"Low"
"14784363";"1";"2026-01-19 15:00:00.000";"Low"
"14785866";"1";"2026-01-19 15:00:00.000";"Medium"
"14785963";"1";"2026-01-19 15:00:00.000";"Medium"
"14786207";"1";"2026-01-19 15:00:00.000";"Medium"
"14786826";"1";"2026-01-18 23:30:00.000";"Low"
"14787061";"1";"2026-01-19 12:15:00.000";"Medium"
"14787343";"1";"2026-01-19 14:45:00.000";"Medium"
"14791766";"1";"2026-01-19 15:00:00.000";"Low"
"14792921";"1";"2026-01-19 14:45:00.000";"Medium"
"14794438";"1";"2026-01-19 15:00:00.000";"Low"
"14794988";"1";"2026-01-19 15:00:00.000";"Low"
"14795503";"1";"2026-01-19 15:00:00.000";"Low"
"14795590";"1";"2026-01-19 15:00:00.000";"Low"
"14795656";"2";"2026-01-19 08:15:00.000";"Low"
"14795856";"1";"2026-01-19 13:00:00.000";"Low"
"14795856";"2";"2026-01-19 12:45:00.000";"Low"
"14796128";"1";"2026-01-19 15:00:00.000";"Low"
"14796237";"2";"2026-01-19 11:45:00.000";"High"
"14796577";"1";"2026-01-19 08:30:00.000";"Medium"
"14796854";"2";"2026-01-19 15:00:00.000";"Low"
"14798183";"1";"2026-01-19 15:00:00.000";"Medium"
"14798387";"2";"2026-01-19 07:45:00.000";"Medium"
"14798438";"1";"2026-01-18 15:00:00.000";"Medium"
"14798438";"2";"2026-01-19 10:00:00.000";"Low"
"14798858";"1";"2026-01-19 15:00:00.000";"High"
"14798944";"1";"2026-01-19 14:30:00.000";"Low"
"14799032";"1";"2026-01-19 15:00:00.000";"Medium"
"14799150";"2";"2026-01-19 15:00:00.000";"Low"
"14799250";"1";"2026-01-19 13:45:00.000";"Medium"
"14799416";"1";"2026-01-19 14:00:00.000";"Low"
"14799485";"1";"2026-01-19 15:00:00.000";"Medium"
"14799577";"1";"2026-01-19 15:00:00.000";"Low"
"14799706";"1";"2026-01-19 15:00:00.000";"Low"
"14799975";"1";"2026-01-19 14:15:00.000";"Low"
"14801337";"1";"2026-01-19 15:00:00.000";"Low"
"14801337";"2";"2026-01-19 15:00:00.000";"Low"
"14801679";"1";"2026-01-19 15:00:00.000";"Low"
"14801679";"2";"2026-01-19 15:00:00.000";"Low"
"14801834";"1";"2026-01-19 14:15:00.000";"Low"
"14801834";"2";"2026-01-19 14:45:00.000";"Low"
"14801921";"1";"2026-01-19 15:00:00.000";"Low"
"14802356";"1";"2026-01-19 14:30:00.000";"Low"
"14802552";"1";"2026-01-18 17:45:00.000";"Low"
"14802632";"1";"2026-01-19 14:00:00.000";"Low"
"14802803";"1";"2026-01-19 14:45:00.000";"Low"
"14803551";"1";"2026-01-19 13:30:00.000";"Medium"
"14803623";"1";"2026-01-19 15:00:00.000";"Low"
"14803773";"1";"2026-01-19 14:45:00.000";"Low"
"14804056";"1";"2026-01-19 15:00:00.000";"Low"
"14804104";"1";"2026-01-19 15:00:00.000";"Low"
"14804195";"1";"2026-01-19 12:45:00.000";"Medium"
"14804195";"2";"2026-01-19 13:15:00.000";"Low"
"14804282";"1";"2026-01-19 15:00:00.000";"Low"
"14804466";"1";"2026-01-19 15:00:00.000";"Low"
"14804686";"1";"2026-01-19 15:00:00.000";"Low"
"14804686";"2";"2026-01-19 15:00:00.000";"Low"
"14804971";"1";"2026-01-19 14:15:00.000";"Low"
"14804971";"2";"2026-01-19 10:15:00.000";"Low"
"14805069";"1";"2026-01-19 15:00:00.000";"Medium"
"14805240";"1";"2026-01-19 14:30:00.000";"Low"
"14805458";"1";"2026-01-19 15:00:00.000";"Low"
"14805500";"1";"2026-01-19 14:00:00.000";"Low"
"14805644";"1";"2026-01-19 15:00:00.000";"Low"
"14805958";"1";"2026-01-19 08:30:00.000";"Low"
"14805958";"2";"2026-01-19 11:15:00.000";"Low"
"14806195";"1";"2026-01-19 14:00:00.000";"Low"
"14806250";"1";"2026-01-19 14:15:00.000";"Low"
"14806283";"1";"2026-01-19 15:00:00.000";"Low"
"14814626";"2";"2026-01-19 12:30:00.000";"Low"
"14815620";"1";"2026-01-19 13:45:00.000";"Low"
"14815962";"1";"2026-01-19 13:45:00.000";"Medium"
"14816718";"1";"2026-01-19 08:15:00.000";"Low"
"14818596";"2";"2026-01-19 14:15:00.000";"Low"
"14818908";"1";"2026-01-18 16:15:00.000";"Low"
"14818908";"2";"2026-01-19 13:30:00.000";"Low"
"14819259";"1";"2026-01-19 15:00:00.000";"Low"
"14819259";"2";"2026-01-18 21:45:00.000";"Low"
"14819329";"1";"2026-01-19 15:00:00.000";"Low"
"14819576";"1";"2026-01-19 12:45:00.000";"Low"
"14819836";"1";"2026-01-18 18:00:00.000";"High"
"14820026";"1";"2026-01-19 10:15:00.000";"Low"
"14820026";"2";"2026-01-19 15:00:00.000";"Low"
"14820105";"1";"2026-01-19 12:15:00.000";"Low"
"14820351";"1";"2026-01-18 18:30:00.000";"Low"
"14820351";"2";"2026-01-19 12:45:00.000";"Low"
"14820400";"2";"2026-01-19 01:30:00.000";"Low"
"14820451";"2";"2026-01-19 09:00:00.000";"High"
"14820485";"2";"2026-01-19 14:45:00.000";"Low"
"14820840";"1";"2026-01-19 13:45:00.000";"Low"
"14820840";"2";"2026-01-19 14:15:00.000";"Low"
"14821215";"1";"2026-01-19 12:30:00.000";"Low"
"14821342";"2";"2026-01-19 12:30:00.000";"Low"
"14821399";"1";"2026-01-19 12:30:00.000";"Medium"
"14821569";"2";"2026-01-19 12:30:00.000";"Low"
"14821801";"1";"2026-01-19 10:45:00.000";"Medium"
"14821991";"1";"2026-01-19 14:45:00.000";"Low"
"14822090";"2";"2026-01-19 14:30:00.000";"Medium"
"14822144";"2";"2026-01-19 13:00:00.000";"Low"
"14822336";"2";"2026-01-18 21:45:00.000";"Medium"
"14822504";"2";"2026-01-19 11:00:00.000";"Low"
"14822553";"2";"2026-01-19 10:15:00.000";"Medium"
"14822628";"2";"2026-01-19 13:45:00.000";"Low"
"14824201";"2";"2026-01-19 10:30:00.000";"Medium"
"14874346";"1";"2026-01-19 14:15:00.000";"Medium"
"14874482";"1";"2026-01-19 13:45:00.000";"Medium"
"14874863";"1";"2026-01-18 23:00:00.000";"Low"
"14874946";"1";"2026-01-19 14:30:00.000";"Low"
"14885583";"2";"2026-01-19 15:00:00.000";"Low"
"14885658";"1";"2026-01-19 15:00:00.000";"Low"
"14886063";"1";"2026-01-19 12:00:00.000";"Low"
"14886090";"1";"2026-01-19 14:00:00.000";"Low"
"14886131";"2";"2026-01-19 14:00:00.000";"Low"
"14886372";"1";"2026-01-19 12:15:00.000";"Medium"
"14886450";"1";"2026-01-19 13:30:00.000";"Low"
"14886517";"1";"2026-01-19 15:00:00.000";"Medium"
"14886589";"1";"2026-01-19 15:00:00.000";"High"
"14886643";"1";"2026-01-19 15:00:00.000";"Low"
"14886676";"1";"2026-01-19 14:15:00.000";"Low"
"14886850";"1";"2026-01-19 15:00:00.000";"High"
"14886877";"2";"2026-01-19 14:30:00.000";"Low"
"14886931";"1";"2026-01-19 14:45:00.000";"Medium"
"14886998";"1";"2026-01-19 14:00:00.000";"Medium"
"14887029";"2";"2026-01-19 14:15:00.000";"Medium"
"14887079";"1";"2026-01-19 13:30:00.000";"Medium"
"14887157";"1";"2026-01-19 14:30:00.000";"Medium"
"14887217";"1";"2026-01-19 14:45:00.000";"Medium"
"14887276";"1";"2026-01-19 14:45:00.000";"Low"
"14887286";"1";"2026-01-19 13:45:00.000";"Medium"
"14887315";"1";"2026-01-19 12:45:00.000";"Medium"
"14887315";"2";"2026-01-19 11:30:00.000";"Medium"
"14887331";"2";"2026-01-19 15:00:00.000";"Low"
"14887338";"1";"2026-01-19 14:30:00.000";"Medium"
"14887363";"1";"2026-01-19 15:00:00.000";"Low"
"14887383";"1";"2026-01-18 20:45:00.000";"Low"
"14887427";"1";"2026-01-19 15:00:00.000";"Low"
"14887439";"1";"2026-01-19 10:00:00.000";"High"
"14887464";"1";"2026-01-19 15:00:00.000";"Medium"
"14887480";"1";"2026-01-19 15:00:00.000";"Low"
"14887505";"1";"2026-01-19 13:00:00.000";"Medium"
"14887548";"1";"2026-01-19 12:30:00.000";"Medium"
"14887589";"1";"2026-01-19 15:00:00.000";"Medium"
"14887612";"1";"2026-01-19 14:15:00.000";"Low"
"14887612";"2";"2026-01-19 14:30:00.000";"Low"
"14887692";"1";"2026-01-19 11:30:00.000";"High"
"14887699";"1";"2026-01-19 15:00:00.000";"Medium"
"14887702";"1";"2026-01-19 14:30:00.000";"Medium"
"14887703";"1";"2026-01-19 15:00:00.000";"Medium"
"14887704";"1";"2026-01-19 15:00:00.000";"Low"
"14887706";"1";"2026-01-19 12:00:00.000";"High"
"14887718";"1";"2026-01-19 10:45:00.000";"Low"
"14887718";"2";"2026-01-18 17:45:00.000";"Low"
"14887720";"1";"2026-01-19 13:30:00.000";"Low"
"14887729";"1";"2026-01-19 14:30:00.000";"Low"
"14887771";"1";"2026-01-19 12:15:00.000";"Low"
"14887780";"2";"2026-01-19 14:30:00.000";"Low"
"14887782";"1";"2026-01-19 14:45:00.000";"Low"
"14887783";"1";"2026-01-19 15:00:00.000";"Low"
"14887790";"1";"2026-01-19 14:15:00.000";"Low"
"14887807";"1";"2026-01-19 07:45:00.000";"Low"
"14887827";"1";"2026-01-19 15:00:00.000";"Low"
